enumerator,village,gender_hh,widow_single_mother,pwd,pwd_involved_planning,age_group,livelihood,livelihood_other,income_band,aware_hfhk,primary_water_source,primary_water_other,water_year_round,pay_for_water,pay_frequency_20l,water_cost_affordable,pwd_ease_use,pwd_barriers,latrine_type,latrine_other,hfhk_latrine_satisfaction,latrine_flood_function,latrine_issue,latrine_safe_heavy_rain,all_members_use_latrine,who_not_use_latrine,handwashing_station,hws_components,hws_has_soap_and_water,hws_has_ash_and_water,hws_has_water,hws_has_nothing,handwash_after_toilet,handwash_before_eating,handwash_before_cooking,handwash_after_waste,handwash_after_cleaning,handwash_other,handwash_other_specify ,hygiene_practices_improved,hygiene_improvement_desc,flood_damage_decreased,flood_decrease_desc,flood_prep_actions,flood_prep_other,canal_desilt_helped,,activities_still_useful,useful_interventions,useful_access_kiosks,useful_latrines_sanitization,useful_training,useful_flood_awareness,useful_committees,useful_other,why_not_useful,most_positive_intervention,remaining_challenges,most_important_change,life_different_if_no_project
Samuel Muga,Kogola East,Female,No,No,,18-35 years (Youth),Trade,,"0 - 10,000",Yes,Protected public wells ,,Yes,No,,,,,Improved Pit Latrine (a latrine with a proper slab and cover to safely separate excreta from human contact),,,No,"In case of flooding, waste are displaced to the higher ground. ",No,Yes,,Yes,Soap and water,1,0,0,0,1,1,0,1,1,0,,Yes,Capacity building on sanitation and hygiene.,No,,Use early warnings ,,Yes,,Yes,Hygiene education / training Improved sanitation facilities,0,1,1,0,0,0,,Improved sanitation ,The kiosk is quite far  so we are asking that they bring it closer to people ,Canal desilting ,No
Andericus Oguma,Kaswa,Female,Yes,No,,18-35 years (Youth),Farming,,"10,001 - 20,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,2,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,It sinks during flood,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,0,1,0,0,,Yes,Know time and how to wash your hand,Yes,Crop lose,Store water/food ,,Yes,,Yes,Access to clean water points (Kiosks) Hygiene education / training,1,0,1,0,0,0,,Improve hygean ,Flood is still affecting us ,Access to clean and soft water ,No
Tom Akumu,Kabong'o,Female,No,No,,18-35 years (Youth),Casual Labour,,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,5,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,1,0,1,1,0,0,,Yes,Drinking clean water is very healthy,Yes,Availability of some income from project,Store water/food ,,Yes,,Yes,"Access to clean water points (Kiosks) Hygiene education / training Active community committees (e.g., WRUAs / WPCs)",1,0,1,0,1,0,,Source of income from the project,None,Improved hygiene,No
Janet Wesonga,Kabong'o,Female,No,No,,18-35 years (Youth),Farming,,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,5,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,Overflow during rainy season.,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Reduction of water born deseases.,Yes,Decilted canals reduced the flood.,Store water/food ,,Yes,,Yes,"Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness Active community committees (e.g., WRUAs / WPCs)",1,1,1,1,1,0,,Access to clean water.,"More iplimention to be done,eg more kiosks clear drainage.","Short distance, clean water.Reduction flood",No
Judith Onyango,Borda,Male ,,No,,18-35 years (Youth),Farming,,"20,001 and Above",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,2,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,Yes,,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Wash  hands with soap ,No,,Use Protect latrines ,,Yes,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness,1,1,1,1,0,0,,To reduce diseases such as cholera ,"Water does not  come 
regularly through pipe.",Accessibility of water ,No
Mollet Atieno,Kokech,Female,Yes,No,,60+ years (Elderly),Farming,,"0 - 10,000",Yes,Protected public wells ,,Yes,Yes,1,Yes,,,"HFHK Flood-Resilient Latrine (latrine built or upgraded by the project to resist flooding, often elevated or reinforced)",,Very satisfied ,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Good housing with ventilation and a toilet,Not Sure,,Store water/food ,,Not sure,,Yes,"Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness Active community committees (e.g., WRUAs / WPCs)",1,1,1,1,1,0,,"Reduction of untreated water,good housing with ventilation",Low provision if the sun isn't there,Good toilet that can't be flooded...has promoted good hygiene,No
Eveline Adhiambo Otieno ,Kagola West,Female,No,No,,18-35 years (Youth),Salaried Employed,,"0 - 10,000",Yes,Open wells in homesteads,,Yes,No,,,,,Improved Pit Latrine (a latrine with a proper slab and cover to safely separate excreta from human contact),,,Yes,,Yes,Yes,,Yes,Water only,0,0,0,0,1,1,1,1,1,0,,Yes,"Reduction in cholera diseases 
Improved hygiene practices",No,,Other,Where i stay is not affected by floods,Yes,,Yes,Improved sanitation facilities Hygiene education / training,0,1,1,0,0,0,,Hygiene  education and training ,Lack of enough canals and water kioks,The level of my family sanitation and hygiene has increased,No
Samuel Muga,Kogola East,Female,Yes,Yes,Yes,60+ years (Elderly),"Other, Specify","She is incapacitated, therefore depends on well-wishers of good will ","0 - 10,000",Yes,Protected public wells ,,Yes,No,,,Yes (ramps/handrails) ,,"HFHK Flood-Resilient Latrine (latrine built or upgraded by the project to resist flooding, often elevated or reinforced)",,Very satisfied ,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,1,1,0,1,0,0,,Yes,I have installed a hand washing containers/facility to better improve on hygiene and sanitation ,Yes,"The flow of water is steady towards the nearby stream, this minimizes stagnant water around homes ",Store water/food ,,Yes,,Yes,Improved sanitation facilities Hygiene education / training Flood preparedness awareness,0,1,1,1,0,0,,Improved sanitation facilities ,"Kiosk is far away from my home, making difficult to access project water and canal desilting should be regular. ",Being built a new flood resilient latrine. ,No
Janet Wesonga,Kabong'o,Male ,,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,5,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,They overflow..,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,0,1,1,0,,Yes,Hygiene improvement.,Yes,Clean drainage control flood.,Store water/food ,,Yes,,Yes,"Access to clean water points (Kiosks) Flood preparedness awareness Improved sanitation facilities Active community committees (e.g., WRUAs / WPCs)",1,1,0,1,1,0,,Access to clean water.,"More water kiosks, latrines are needed.",Less Movement to get water.,No
Tom Akumu,Kabong'o,Male ,,No,,18-35 years (Youth),Casual Labour,,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,5,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,1,1,0,1,0,0,,Yes,Drinking clean water,No,,Store water/food ,,Yes,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training,1,1,1,0,0,0,,Improvement of our hygiene,Some areas still experience floods,Proper training on hygiene,No
Elizabeth Anyango,Borda,Female,Yes,No,,36-59 years (Adult),Casual Labour,,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,2,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,0,0,,Yes,No diseases like cholera,Yes,Poor harvesting during flood day,Store water/food ,,Yes,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness,1,1,1,1,0,0,,Water,More piping needed,Good health,No
Eveline Adhiambo Otieno ,Kagola West,Female,Yes,No,,60+ years (Elderly),"Other, Specify",Small business tomatoe seller,"0 - 10,000",Yes,Open wells in homesteads,,Yes,No,,,,,"HFHK Flood-Resilient Latrine (latrine built or upgraded by the project to resist flooding, often elevated or reinforced)",,Very satisfied ,Yes,,Yes,Yes,,Yes,Water only,0,0,0,0,1,1,1,1,1,0,,Yes,"Improved skills on hygiene 
Improved skills in sanitation",No,,Store water/food ,,Not sure,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness,1,1,1,1,0,0,,Improved sanitation facilities ,Poor drainage system and blocked canals,Beneficiary of flood resilient latrine,No
Andericus Oguma,Kaswa,Male ,,No,,60+ years (Elderly),"Other, Specify",Get from well-wishers,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,2,No,,,"HFHK Flood-Resilient Latrine (latrine built or upgraded by the project to resist flooding, often elevated or reinforced)",,Very satisfied ,Yes,,Yes,Yes,,Yes,Water only,0,0,0,0,0,1,1,0,0,0,,Yes,Don't get germs,Yes,Damage crops,Other,Cannot manage to prepare,Yes,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training,1,1,1,0,0,0,,Get clean and soft water,In flood we still not have enough canals to remove water,Get enough water,No
Tom Akumu,Kabong'o,Male ,,No,,36-59 years (Adult),Trade,,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,5,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,0,0,0,,Yes,Water borne deseases has reduced ,Yes,Water flows towards the canals,Store water/food ,,Yes,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Flood preparedness awareness,1,1,0,1,0,0,,Access to clean water ,Lack of enough washing hand materials,Improved health ,No
Samuel Muga,Kogola East,Male ,,No,,36-59 years (Adult),Casual Labour,,"10,001 - 20,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,2,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Hygiene and sanitation training,No,,Store water/food ,,Yes,,Yes,Access to clean water points (Kiosks),1,0,0,0,0,0,,Access to clean water,Kiosk is quite far from my home,Access to clean and safe water for domestic purposes,No
Andericus Oguma,Kaswa,Female,No,No,,18-35 years (Youth),Farming,,"10,001 - 20,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,2,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,It sinks during flood season,No,Yes,,No,,,,,,0,1,1,0,0,0,,Yes,We reduce germs because we know how to wash our hands,Yes,Damage our crops,Store water/food ,,Yes,,Yes,Access to clean water points (Kiosks) Hygiene education / training,1,0,1,0,0,0,,Access to clean water,We lack equipments for hand washing in our home,We get soft and clean water,No
Judith Onyango,Borda,Female,No,No,,18-35 years (Youth),Farming,,"0 - 10,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,3,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,Yes,,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Improve about drinking treated water that they did not use before.,Yes,The flood has decreased around the area because of canals.,Store water/food ,,Yes,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness,1,1,1,1,0,0,,No moving from ane place to another when it's raining because of floods  .The flood has decreased.,No challenge .,Control of floods and maintenance of hygiene.,No
Mollet Atieno,Kokech,Female,No,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,Protected public wells ,,Yes,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,Collapses due to heavy rains,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,No,,No,,Store water/food ,,Not sure,,Yes,"Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness Active community committees (e.g., WRUAs / WPCs)",1,1,1,1,1,0,,Reduction of waterborne diseases,Water kiosk is far from where she lives,Nothing so far,Not Sure
Tom Ocharo,Kokech,Male ,,No,,18-35 years (Youth),Farming,,"20,001 and Above",Yes,Open wells in homesteads,,No,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,Sinkable during floods,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,After hygiene training we have been practicing the knowledge acquired,No,,Store water/food ,,Yes,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness,1,1,1,1,0,0,,WASH training,"Water point is far away from us,our neighbours need hygiene training and perpetual desilting of canal",Practicing of hygiene in our home has improved,No
Mollet Atieno,Kokech,Female,No,No,,18-35 years (Youth),Farming,,"0 - 10,000",Yes,Protected public wells ,,Yes,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,Heavy rains makes it to collapse,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Reduction of waterbone diseases in the community,Yes,The built canals have improved water flow,Store water/food ,,Yes,,Yes,"Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness Active community committees (e.g., WRUAs / WPCs)",1,1,1,1,1,0,,"Clean water for the comunity,good houses with ventilation,and good toilets",Not all people access due to far distance,Has reduced stomach problems,No
Andericus Oguma,Kaswa,Female,Yes,No,,36-59 years (Adult),Farming,,"10,001 - 20,000",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,2,Yes,,,"HFHK Flood-Resilient Latrine (latrine built or upgraded by the project to resist flooding, often elevated or reinforced)",,Very satisfied ,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,1,1,0,1,0,0,,Yes,No frequent waterborne diseases,Yes,Crop damaged,Store water/food ,,Yes,,Yes,Access to clean water points (Kiosks) Hygiene education / training Improved sanitation facilities,1,1,1,0,0,0,,Access to water kiosk and get clean and soft water,We still want to dig more canals,Access to soft and clean water,No
Tom Ocharo,Kokech,Female,Yes,Yes,Yes,60+ years (Elderly),"Other, Specify",None,"0 - 10,000",Yes,Open wells in homesteads,,No,No,,,Yes (ramps/handrails) ,,"HFHK Flood-Resilient Latrine (latrine built or upgraded by the project to resist flooding, often elevated or reinforced)",,Very satisfied ,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,Practicing hygiene taught by HFHK,No,,Store water/food ,,Yes,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness,1,1,1,1,0,0,,Canal desilting,"Far away water point, more training on hygiene and continuous desilting of Canals",Improved flood resistance pit  Latrine,No
Tom Ocharo,Kokech,Male ,,No,,18-35 years (Youth),Casual Labour,,"10,001 - 20,000",Yes,Open wells in homesteads,,No,No,,,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,It sinks during floods,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,0,,Yes,We are practicing educational training acquired during WASH training,No,,Store water/food ,,Yes,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness,1,1,1,1,0,0,,Hygiene training,"Many water points are required, extend hygiene training to neighbours and quarterly desilting",Improved hygiene,No
Samuel Muga,Kogola East,Female,Yes,Yes,Yes,60+ years (Elderly),Farming,,"0 - 10,000",Yes,Open wells in homesteads,,Yes,No,,,Yes (ramps/handrails) ,,"HFHK Flood-Resilient Latrine (latrine built or upgraded by the project to resist flooding, often elevated or reinforced)",,Very satisfied ,Yes,,Yes,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,0,1,0,,Yes,Because of training and education from the CHPs (PHAST) concerning hygiene and sanitation,No,,Other,"My home is a little bit raised, so am not normally affected by perennial flooding",Not sure,,Yes,Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training,1,1,1,0,0,0,,Access to clean and safe water,Unreliable supply due to weather change that affect solar efficiency,"Trainings concerning health and sanitation, we can now drink Safe and clean water",No
Tom Ocharo,Kokech,Male ,,No,,60+ years (Elderly),Farming,,"20,001 and Above",Yes,HFHK Solar Borehole/Kiosk ,,Yes,Yes,10,Yes,,,"Shared Latrine (used by more than one household, e.g., neighbors or extended family)",,,No,Floods during the rainy  seasons,No,Yes,,Yes,Soap and water,1,0,0,0,1,1,1,1,1,1,After farming,Yes,Reduced diarrhea,No,,Store water/food ,,Yes,,Yes,"Access to clean water points (Kiosks) Improved sanitation facilities Hygiene education / training Flood preparedness awareness Active community committees (e.g., WRUAs / WPCs)",1,1,1,1,1,0,,Improved cleanliness,"Water system requires electrical back,more training for sanitation and opening of the Canals and dyking of drainages","We are using fresh water,clean environment which is conducive to living and reduced diseases",No
