enumerator,village,gender_hh,widow_single_mother,pwd,pwd_involved_planning,age_group,livelihood,livelihood_other,income_band,aware_hfhk,water_l_per_day,kiosk_use_frequency,time_fetch_before,time_fetch_now,time_change,time_change_reasons,time_reason_closer,time_reason_shorter_queue,time_reason_reduced_cost,time_reason_improved_quality,time_reason_other,time_reason_other_specify,women_less_time_fetch,women_time_for ,women_time_income,women_time_childcare,women_time_school,women_time_chores,women_time_rest,women_time_other,women_time_other_specify,income_increased,income_increase_where,income_increase_farming,income_increase_small businesses ,income_increase_maintenance_jobs ,income_increase_education ,income_increase_health ,income_increase_livestock ,income_increase_other,income_increase_other_specify,water_quality_change,borehole_functional,borehole_functional_reason,borehole_breakdowns,breakdown_frequency,committees_meeting,reduced_conflicts,reduced_conflicts_describe,10. Who is currently responsible for repairs and maintenance of:,repairs_water,repairs_latrines,repairs_canals,user_fees_effective,community_sustain_without_support,hfkh_latrine_use,latrine_satisfaction,latrine_functional_during_flood,latrine_issue_text,hfkh_latrine_use_frequency,girls_comfortable_using_latrine_night,women_latrine_use_night_and_floods,rare_latrine_use_night_and_floods_desc,place_to_wash_hands,water_available_at_hws,soap_available_today,when_wash_hands,when_wash_hands_after_defecation,when_wash_hands_after_handling child_adultfeces,when_wash_hands_after_cleaning_environment,when_wash_hands_before_preparing_food,when_wash_hands_before_eating_food,5. How often do you wash your hands at the following times? ,after_defecation_handwash_often,before_eating__handwash_often,before_preparing_food_handwash_often,after_cleaning_environment_handwash_often,after_handling child_adult feces_handwash_often,phast_training,who_attended,who_attended_adult_women,who_attended_adult_men,who_attended_children,who_attended_youth,who_attended_other,Other,practices_started,practices_started_wash_with_soap_after_defecation,practices_started_wash_with_soap_before_eating,practices_built_improved_latrine,practices_treat_drinking_water,practices_store_water_safe,practices_use_squat_hole_cover,practices_keep_latrine_clean,practices_handwashing_station,practices_safe_child_feces,practices_other,Other (please specify),hygiene_training_reduced_illness,hygiene_change_desc,why_training_has_no_impact,any_water_related_illnesses_still_experienced,which_illness,still_using_practices,no_explain_why,some_explain_why,diarrhea_past_2wks,feel_safer_accessing,flood_prep_actions_stored_water,flood_prep_actions_raised_belongings,flood_prep_actions_raise_latrine,flood_prep_actions_dug_cleared,flood_prep_actions_dug_cleared,flood_prep_actions_evac_plan,flood_prep_actions_planted_trees,flood_prep_actions_none,flood_prep_actions_other,Other Specify ,aware_canal_desilting,participated_awareness_sessions,2a. Did youth (15-35 years) participate in the following project activities?,youth_participation_training,youth_participation_canal_work,youth_participation_committees,youth_participation_construction,2b. Where in this project has skills or leadership roles for youth been created (Jobs),youth_jobs_roles_water_committee,youth_jobs_maintenance,youth_jobs_hygiene_trainers,youth_jobs_none,youth_jobs_not_sure,usefulness_awareness_sessions,canal_works_helped_reduce_flooding,community_committee_maintains_canals ,community_committee_still_active ,household_member participated_canal_maintenance,have_desilted_canals_and_embankments_reduced_flooding,effective_desilted_canals_and_embankments_reducing_floods,household_prepared_for_seasonal_flooding,canal_buffers_surviving_improved_environment,canal_trees_helped_how,reliable_water_help_income,,,home_affected_by_flood_last_year,what_kind_of_damage,flood_damage_property,flood_damage_crop_loss,flood_damage_contamination,flood_damage_latrine_collapse,flood_damage_other,flood_damage_other_specify,what_to_do_before_flood,flood_pre_warnings_received,flood_warning_from,flood_warning_from_canal_committee,flood_warning_from_village_head,flood_warning_from_government_official,flood_warning_from_sms_radio,flood_warning_from_other,village_better_protected,flood_warning_from_other_specify,distance_in_meters
Mollet Atieno,Kokech,Female,No,No,,18-35 years (Youth),Farming,,"0 - 10,000",Yes,51–100 litres ,Rarely,30–60 min ,<30 min,Less,Closer water source Shorter queues Reduced cost Improved quality ,1,1,1,1,0,,Yes,Income generating activities  Childcare  School attendance (especially girls)  Household chores  Rest/Leisure ,1,1,1,1,1,0,,Yes,Farming/fishing yields  Small businesses  Paid maintenance jobs  Education   Health  Livestock ,1,1,1,1,1,1,0,,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,Yes,Rarely (once every few months) ,Yes,Yes,Centrally placed for many people to access,,Water Committee,Water Committee,Water Committee,Yes,No,No,,,,,,Always,,Yes,Yes,Yes,After defecation After handling child/adult feces or cleaning child's bottom After cleaning the environment Before preparing food Before eating food,1,1,1,1,1,,Often,Often,Often,Often,Often,Yes,Adult women Adult men Children Youth,1,1,1,1,0,,"Wash hands with soap after defecation Wash hands with soap before eating or preparing food Built or improved household latrine Treat drinking water (e.g., boiling, chlorination) Store water safely in clean, covered containers Use a squat hole cover or toilet seat Keep latrine and surrounding area clean Constructed or use a handwashing station (e.g., tippy tap) Practice safe disposal of child feces",1,1,1,1,1,1,1,1,1,0,,Yes,Reduction of cholera cases,,No,,Yes,,,No,Much safer,Stored food/water in advance Raised household belongings  Built/raised latrine above ground Dug or cleared drainage/canals  Developed evacuation plan Planted trees along canals,1,1,1,1,1,1,0,0,,Yes,No,,Yes,Yes,Yes,Yes,Water committee roles  Maintenance jobs  Hygiene trainers ,1,1,1,0,0,Very useful,"Yes, significantly",Yes,Yes,Yes, Somewhat ,Somewhat effective,Yes,Better flood control ,Less erosion ,Farming/fishing improved ,,,No,,,,,,,,,Yes,Canal Committee Village Head,1,1,0,0,0,Much better protected,,598.15
Andericus Oguma,Kaswa,Female,Yes,No,,36-59 years (Adult),Farming,,"10,001 - 20,000",Yes,51–100 litres ,Daily,30–60 min ,<30 min,Less,Closer water source Shorter queues,1,1,0,0,0,,Yes,Income generating activities  Childcare  Household chores ,1,1,0,1,0,0,,Yes,Farming/fishing yields   Health ,1,0,0,0,1,0,0,,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,Yes,Rarely (once every few months) ,Yes,Yes,Water is available every time,,Water Committee,Water Committee,Water Committee,Yes,Yes,Yes, Very Satisfied,Yes,,Yes,Yes,Always,,Yes,Yes,Yes,Before preparing food Before eating food After defecation,1,0,0,1,1,,Often,Often,Often,Often,Often,Yes,Adult women Youth,1,0,0,1,0,,"Wash hands with soap after defecation Store water safely in clean, covered containers Built or improved household latrine Wash hands with soap before eating or preparing food",1,1,1,0,1,0,0,0,0,0,,Yes,Cleanness high and reduced disease,,No,,Yes,,,No,Much safer,Stored food/water in advance  Developed evacuation plan  Built/raised latrine above ground,1,0,1,0,1,0,0,0,,Yes,Yes,,Yes,Yes,Yes,Yes,Hygiene trainers  Water committee roles ,1,0,1,0,0,Very useful,"Yes, significantly",Yes,Yes,Yes,"Yes, significantly ",Very Effective,Yes,Less erosion ,Less erosion ,Farming/fishing improved ,,,Yes,Property damage Crop loss,1,1,0,0,0,,Disilting canals,Yes,Government official Other SMS/radio,0,0,1,1,1,Somewhat better protected,We don't see that much of flood,519.18
Tom Ocharo,Kokech,Female,Yes,Yes,Yes,60+ years (Elderly),"Other, Specify",None,"0 - 10,000",Yes,>100 litres,Never,>1 hour,>1 hour,Same,,,,,,,,No,,,,,,,,,No,Other,0,0,0,0,0,0,1,None,No change ,Yes,,No,,Yes,Yes,Cattle water trough helping animals to drink water and desilting has reduced floods,,Water Committee,Don't know,County Government,Yes,Yes,Yes, Very Satisfied,Yes,,Yes,Yes,Always,,Yes,Yes,Yes,After defecation After handling child/adult feces or cleaning child's bottom After cleaning the environment Before preparing food Before eating food,1,1,1,1,1,,Often,Often,Often,Often,Often,Yes,Adult women Adult men Children Youth,1,1,1,1,0,,"Wash hands with soap after defecation Built or improved household latrine Wash hands with soap before eating or preparing food Treat drinking water (e.g., boiling, chlorination) Store water safely in clean, covered containers Use a squat hole cover or toilet seat Keep latrine and surrounding area clean Practice safe disposal of child feces",1,1,1,1,1,1,1,0,1,0,,Yes,Not visiting the hospital for stomach problems,,No,,Yes,,,No,Much safer,Stored food/water in advance,1,0,0,0,0,0,0,0,,Yes,Yes,,Yes,Yes,Yes,Yes,Water committee roles  Maintenance jobs  Hygiene trainers ,1,1,1,0,0,Very useful,"Yes, significantly",Yes,Yes,Yes,"Yes, significantly ",Very Effective,Yes,Damaged,No change,No effect,,,No,,,,,,,,,Yes,Government official SMS/radio,0,0,1,1,0,Much better protected,,452.42
Tom Ocharo,Kokech,Male ,,No,,18-35 years (Youth),Casual Labour,,"10,001 - 20,000",Yes,>100 litres,Never,>1 hour,>1 hour,Same,,,,,,,,No,,,,,,,,,No,Other,0,0,0,0,0,0,1,None,No change ,Yes,,No,,Yes,Yes,Cattle water trough aids many animals to drinks for a short time,,Water Committee,Don't know,County Government,Yes,Yes,No,,,,,,,,Yes,Yes,Yes,After defecation After handling child/adult feces or cleaning child's bottom After cleaning the environment Before preparing food,1,1,1,1,0,,Often,Often,Often,Often,Often,Yes,Adult women Adult men Children Youth,1,1,1,1,0,,"Wash hands with soap after defecation Wash hands with soap before eating or preparing food Built or improved household latrine Treat drinking water (e.g., boiling, chlorination) Store water safely in clean, covered containers Keep latrine and surrounding area clean Practice safe disposal of child feces",1,1,1,1,1,0,1,0,1,0,,Yes,Stomach diseases have drastically reduced,,No,,Yes,,,No,No change ,Stored food/water in advance Planted trees along canals,1,0,0,0,0,1,0,0,,Yes,Yes,,Yes,Yes,Yes,Yes,Water committee roles  Maintenance jobs  Hygiene trainers ,1,1,1,0,0,Very useful,"Yes, significantly",Yes,Yes,Yes,"Yes, significantly ",Very Effective,Yes,Damaged,No change,No effect,,,No,,,,,,,,,Yes,Government official SMS/radio,0,0,1,1,0,Much better protected,,469.47
Samuel Muga,Kogola East,Female,Yes,Yes,Yes,60+ years (Elderly),Farming,,"0 - 10,000",Yes,>100 litres,3–6 times/week ,30–60 min ,<30 min,Less,Shorter queues Closer water source Reduced cost Improved quality ,1,1,1,1,0,,Yes,Income generating activities  Childcare  Household chores ,1,1,0,1,0,0,,Yes,Farming/fishing yields ,1,0,0,0,0,0,0,,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,Yes,Rarely (once every few months) ,Yes,Yes,Short queues at the kiosk,,Water Committee,Water Committee,Water Committee,Yes,Yes,Yes, Very Satisfied,Yes,,Yes,Yes,Always,,Yes,Yes,Yes,After defecation After cleaning the environment Before eating food After handling child/adult feces or cleaning child's bottom Before preparing food,1,1,1,1,1,,Often,Often,Often,Often,Often,Yes,Adult women Adult men Youth Children,1,1,1,1,0,,"Wash hands with soap after defecation Wash hands with soap before eating or preparing food Treat drinking water (e.g., boiling, chlorination) Store water safely in clean, covered containers Keep latrine and surrounding area clean",1,1,0,1,1,0,1,0,0,0,,Yes,"I have maintained regular hand washing container, this helps in reducing and or minimizing the spread of germs that causes disease.",,No,,Yes,,,No,Much safer,Stored food/water in advance Raised household belongings,1,1,0,0,0,0,0,0,,Yes,No,,Yes,Yes,Yes,Yes,Maintenance jobs  Hygiene trainers  Water committee roles ,1,1,1,0,0,Somewhat usefu,Somewhat,Yes,Yes,No, Somewhat ,Somewhat effective,Yes,Damaged,No change,Farming/fishing improved ,,,No,,,,,,,,,Not sure,,,,,,,Somewhat better protected,,287.02
Tom Ocharo,Kokech,Male ,,No,,60+ years (Elderly),Farming,,"20,001 and Above",Yes,>100 litres,3–6 times/week ,30–60 min ,30–60 min ,Less,Other,0,0,0,0,1,"Spend most of our saved on household duties,farming and cattle rearing",Yes,Childcare  Household chores ,0,1,0,1,0,0,,Yes,Farming/fishing yields  Small businesses ,1,1,0,0,0,0,0,,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,Yes,Rarely (once every few months) ,Yes,Yes,Conflict Has reduced drastically,,Water Committee,Don't know,County Government,Yes,Yes,No,,,,,,,,Yes,Yes,Yes,After defecation After handling child/adult feces or cleaning child's bottom After cleaning the environment Before preparing food Before eating food,1,1,1,1,1,,Often,Often,Often,Often,Often,Yes,Adult women Adult men Children Youth,1,1,1,1,0,,"Wash hands with soap after defecation Wash hands with soap before eating or preparing food Built or improved household latrine Treat drinking water (e.g., boiling, chlorination) Store water safely in clean, covered containers Keep latrine and surrounding area clean Practice safe disposal of child feces",1,1,1,1,1,0,1,0,1,0,,Yes,Healthy living and rarely go dispensary for stomach problems,,No,,Yes,,,No,Much safer,Stored food/water in advance Dug or cleared drainage/canals,1,0,0,1,0,0,0,0,,Yes,Yes,,Yes,Yes,Yes,Yes,Water committee roles  Maintenance jobs  Hygiene trainers ,1,1,1,0,0,Very useful,"Yes, significantly",Yes,Yes,Yes,"Yes, significantly ",Very Effective,Yes,Damaged,No change,Farming/fishing improved ,,,No,,,,,,,,,Yes,Government official SMS/radio,0,0,1,1,0,Much better protected,,433.08
Samuel Muga,Kogola East,Female,No,No,,18-35 years (Youth),Farming,,"0 - 10,000",Yes,>100 litres,Daily,30–60 min ,<30 min,Less,Closer water source Improved quality  Reduced cost Shorter queues,1,1,1,1,0,,Yes,Childcare  Income generating activities  Household chores  School attendance (especially girls) ,1,1,1,1,0,0,,Yes,Farming/fishing yields ,1,0,0,0,0,0,0,,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,Yes,Rarely (once every few months) ,Yes,Yes,Short queues these days ,,Water Committee,Water Committee,Water Committee,Yes,Yes,No,,,,,,Always,,Yes,Yes,Yes,After defecation After cleaning the environment After handling child/adult feces or cleaning child's bottom Before eating food Before preparing food,1,1,1,1,1,,Often,Often,Often,Often,Often,Yes,Adult women Children Adult men,1,1,1,0,0,,"Wash hands with soap after defecation Wash hands with soap before eating or preparing food Treat drinking water (e.g., boiling, chlorination) Use a squat hole cover or toilet seat Keep latrine and surrounding area clean Constructed or use a handwashing station (e.g., tippy tap) Practice safe disposal of child feces Store water safely in clean, covered containers",1,1,0,1,1,1,1,1,1,0,,Yes,Less spreading of germs ,,No,,Yes,,,No,Much safer,Stored food/water in advance Raised household belongings,1,1,0,0,0,0,0,0,,Yes,No,,Yes,Yes,Yes,Yes,Water committee roles  Maintenance jobs  Hygiene trainers ,1,1,1,0,0,Somewhat usefu,Somewhat,Yes,Yes,No, Somewhat ,Somewhat effective,Yes,Damaged,No change,Farming/fishing improved ,,,No,,,,,,,,,Not sure,,,,,,,Somewhat better protected,,226.51
Janet Wesonga,Kabong'o,Female,No,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,51–100 litres ,Daily,30–60 min ,<30 min,Less,Closer water source,1,0,0,0,0,,Yes,Income generating activities  Childcare  School attendance (especially girls)  Household chores  Rest/Leisure ,1,1,1,1,1,0,,Yes,Farming/fishing yields   Health  Livestock  Education ,1,0,0,1,1,1,0,,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,Yes,Rarely (once every few months) ,Yes,Yes,Shorter distance.,,Water Committee,Water Committee,Water Committee,Yes,Yes,Yes,Satisfied,No,They collapse.,Yes,Sometimes ,Only sometimes ,,Yes,Yes,Yes,After defecation After handling child/adult feces or cleaning child's bottom After cleaning the environment Before preparing food Before eating food,1,1,1,1,1,,Often,Often,Often,Often,Often,Yes,Youth,0,0,0,1,0,,"Wash hands with soap after defecation Wash hands with soap before eating or preparing food Treat drinking water (e.g., boiling, chlorination) Store water safely in clean, covered containers Use a squat hole cover or toilet seat Keep latrine and surrounding area clean Constructed or use a handwashing station (e.g., tippy tap) Practice safe disposal of child feces",1,1,0,1,1,1,1,1,1,0,,Yes,Good health.,,No,,Yes,,,No,Much less safe ,Stored food/water in advance Raised household belongings,1,1,0,0,0,0,0,0,,Yes,Yes,,Yes,Yes,No,Yes,Maintenance jobs  Hygiene trainers ,0,1,1,0,0,Somewhat usefu,Somewhat,Yes,Yes,Yes, Somewhat ,Somewhat effective,Yes,Less erosion ,Less erosion ,Farming/fishing improved ,,,Yes,Property damage Crop loss Water source contamination Latrine collapse,1,1,1,1,0,,Store enough food,Yes,Canal Committee SMS/radio,1,0,0,1,0,Somewhat better protected,,872.72
Samuel Muga,Kogola East,Female,Yes,No,,18-35 years (Youth),Farming,,"0 - 10,000",Yes,>100 litres,Daily,30–60 min ,<30 min,Less,Closer water source Shorter queues Reduced cost Improved quality ,1,1,1,1,0,,Yes,Childcare  School attendance (especially girls)  Household chores  Income generating activities ,1,1,1,1,0,0,,Yes,Farming/fishing yields ,1,0,0,0,0,0,0,,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,Yes,Rarely (once every few months) ,Yes,Yes,Short queues because of three taps ,,Water Committee,Water Committee,Water Committee,Yes,No,No,,,,,,Only sometimes ,,No,,,After defecation After handling child/adult feces or cleaning child's bottom After cleaning the environment Before preparing food Before eating food,1,1,1,1,1,,Often,Often,Often,Often,Often,Yes,Adult women Adult men Youth Children,1,1,1,1,0,,"Wash hands with soap after defecation Wash hands with soap before eating or preparing food Treat drinking water (e.g., boiling, chlorination) Store water safely in clean, covered containers Keep latrine and surrounding area clean Constructed or use a handwashing station (e.g., tippy tap) Practice safe disposal of child feces",1,1,0,1,1,0,1,1,1,0,,Yes,Trainings of hygiene and sanitation was better ,,No,,Yes,,,No,Much safer,Stored food/water in advance Raised household belongings,1,1,0,0,0,0,0,0,,No,,,Yes,Not Sure,Yes,Yes,Water committee roles  Maintenance jobs  Hygiene trainers ,1,1,1,0,0,,,,,,,,No,Damaged,No change,Farming/fishing improved ,,,No,,,,,,,,,Not sure,,,,,,,Don’t know,,184.75
Elizabeth Anyango,Kaswa,Male ,,No,,36-59 years (Adult),Farming,,"10,001 - 20,000",Yes,51–100 litres ,Daily,30–60 min ,<30 min,Less,Closer water source Shorter queues,1,1,0,0,0,,Yes,Childcare  Rest/Leisure  Income generating activities ,1,1,0,0,1,0,,Yes,Farming/fishing yields   Health  Livestock ,1,0,0,0,1,1,0,,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,Yes,Rarely (once every few months) ,Yes,Yes,Short and availability of water,,Water Committee,Water Committee,Water Committee,Yes,Yes,No,,,,,,Only sometimes ,,Yes,Yes,Yes,After defecation After cleaning the environment Before eating food,1,0,1,0,1,,Sometimes ,Often,Sometimes ,Often,Sometimes ,Yes,Adult men Youth,0,1,0,1,0,,"Wash hands with soap after defecation Treat drinking water (e.g., boiling, chlorination) Store water safely in clean, covered containers",1,0,0,1,1,0,0,0,0,0,,Yes,We still lack detergents,,No,,Yes,,,No,Much safer,Dug or cleared drainage/canals Planted trees along canals Stored food/water in advance,1,0,0,1,0,1,0,0,,Yes,Yes,,Yes,Yes,Yes,Yes,Water committee roles  Hygiene trainers  Maintenance jobs ,1,1,1,0,0,Very useful,Somewhat,Yes,Yes,Yes, Somewhat ,Somewhat effective,Yes,Less erosion ,Less erosion ,Farming/fishing improved ,,,Yes,Crop loss Property damage,1,1,0,0,0,,Dig canals around our farms and homes,Yes,SMS/radio Government official,0,0,1,1,0,Somewhat better protected,,244.34
Elizabeth Anyango,Kaswa,Female,Yes,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,51–100 litres ,Daily,30–60 min ,<30 min,Less,Closer water source Shorter queues,1,1,0,0,0,,Yes,Childcare  Rest/Leisure ,0,1,0,0,1,0,,Yes,Farming/fishing yields   Health  Livestock ,1,0,0,0,1,1,0,,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,Yes,Rarely (once every few months) ,Yes,Yes,Short line ,,Water Committee,Water Committee,Water Committee,Don’t know,No,No,,,,,,Only sometimes ,,No,,,After handling child/adult feces or cleaning child's bottom Before preparing food Before eating food,0,1,0,1,1,,Sometimes ,Often,Sometimes ,Often,Often,Yes,Youth Children,0,0,1,1,0,,"Wash hands with soap before eating or preparing food Wash hands with soap after defecation Store water safely in clean, covered containers",1,1,0,0,1,0,0,0,0,0,,Yes,Death rate reduced,,No,,Yes,,,No,Much safer,Stored food/water in advance Dug or cleared drainage/canals  Built/raised latrine above ground,1,0,1,1,0,0,0,0,,Yes,Yes,,Yes,Yes,Yes,Yes,Hygiene trainers  Water committee roles ,1,0,1,0,0,Very useful,"Yes, significantly",Yes,Yes,Yes, Somewhat ,Somewhat effective,Yes,Less erosion ,Less erosion ,Farming/fishing improved ,,,Yes,Property damage Crop loss,1,1,0,0,0,,Dig canals around our homes and farms ,Yes,SMS/radio Government official,0,0,1,1,0,Somewhat better protected,,214.19
Janet Wesonga,Kabong'o,Female,No,No,,36-59 years (Adult),Farming,,"0 - 10,000",Yes,>100 litres,Daily,30–60 min ,<30 min,Less,Closer water source,1,0,0,0,0,,Yes,Income generating activities  Childcare  School attendance (especially girls)  Household chores  Rest/Leisure ,1,1,1,1,1,0,,Yes,Farming/fishing yields   Health  Livestock  Paid maintenance jobs ,1,0,1,0,1,1,0,,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,Yes,Rarely (once every few months) ,Yes,Yes,Short distance ,,Water Committee,Water Committee,Water Committee,Yes,Yes,No,,,,,,Only sometimes ,,Yes,Yes,Yes,After defecation After handling child/adult feces or cleaning child's bottom After cleaning the environment Before preparing food Before eating food,1,1,1,1,1,,Often,Often,Often,Often,Often,Yes,Adult women,1,0,0,0,0,,"Wash hands with soap after defecation Wash hands with soap before eating or preparing food Treat drinking water (e.g., boiling, chlorination) Store water safely in clean, covered containers Use a squat hole cover or toilet seat Keep latrine and surrounding area clean Constructed or use a handwashing station (e.g., tippy tap) Practice safe disposal of child feces",1,1,0,1,1,1,1,1,1,0,,Yes,Good health.,,No,,Yes,,,No,Much less safe ,Stored food/water in advance Raised household belongings,1,1,0,0,0,0,0,0,,Yes,Yes,,Yes,Yes,No,Yes,Maintenance jobs  Hygiene trainers ,0,1,1,0,0,Somewhat usefu,Somewhat,Yes,Yes,Yes, Somewhat ,Somewhat effective,Yes,Less erosion ,Less erosion ,Farming/fishing improved ,,,Yes,Crop loss Property damage Water source contamination Latrine collapse,1,1,1,1,0,,"Put household in a higher level, and store food",Yes,Canal Committee SMS/radio,1,0,0,1,0,Somewhat better protected,,751.92
Tom Ocharo,Kokech,Female,Yes,No,,60+ years (Elderly),Farming,,"20,001 and Above",Yes,>100 litres,Never,>1 hour,>1 hour,Same,,,,,,,,No,,,,,,,,,No,Other,0,0,0,0,0,0,1,None,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,No,,Yes,Yes,By providing big water trough for Cattle ,,Water Committee,Don't know,County Government,Yes,Yes,No,,,,,,,,Yes,Yes,Yes,After defecation After handling child/adult feces or cleaning child's bottom After cleaning the environment Before preparing food Before eating food,1,1,1,1,1,,Often,Often,Often,Often,Often,Yes,Adult women Children Adult men Youth,1,1,1,1,0,,"Wash hands with soap after defecation Wash hands with soap before eating or preparing food Built or improved household latrine Treat drinking water (e.g., boiling, chlorination) Store water safely in clean, covered containers Keep latrine and surrounding area clean Practice safe disposal of child feces Constructed or use a handwashing station (e.g., tippy tap)",1,1,1,1,1,0,1,1,1,0,,Yes,Reduced medical expenses ,,No,,Yes,,,No,No change ,Stored food/water in advance Dug or cleared drainage/canals,1,0,0,1,0,0,0,0,,Yes,Yes,,Yes,Yes,Yes,Yes,Water committee roles  Maintenance jobs ,1,1,0,0,0,Very useful,"Yes, significantly",Yes,Yes,Yes,"Yes, significantly ",Very Effective,Yes,Better flood control ,Better drainage ,No effect,,,No,,,,,,,,,Yes,Government official SMS/radio Village Head,0,1,1,1,0,Much better protected,,436.1
Samuel Muga,Kogola East,Male ,,No,,36-59 years (Adult),Trade,,"10,001 - 20,000",Yes,>100 litres,Daily,30–60 min ,<30 min,Less,Closer water source Reduced cost Improved quality ,1,0,1,1,0,,Yes,Income generating activities  Childcare  School attendance (especially girls)  Household chores  Rest/Leisure ,1,1,1,1,1,0,,Yes,Farming/fishing yields  Small businesses  Livestock  Paid maintenance jobs ,1,1,1,0,0,1,0,,"Improved (minimal salinity, clearer, fewer illnesses)  ",Yes,,Yes,Rarely (once every few months) ,Yes,Yes,"Short queues, it's available for along time as compared to self owned open wells that can be closed anytime",,Water Committee,Water Committee,Water Committee,Yes,Yes,No,,,,,,Always,,Yes,Yes,Yes,After defecation After handling child/adult feces or cleaning child's bottom After cleaning the environment Before preparing food Before eating food,1,1,1,1,1,,Often,Often,Often,Often,Often,Yes,Adult women Adult men Children Youth,1,1,1,1,0,,"Wash hands with soap after defecation Wash hands with soap before eating or preparing food Built or improved household latrine Treat drinking water (e.g., boiling, chlorination) Store water safely in clean, covered containers Keep latrine and surrounding area clean Constructed or use a handwashing station (e.g., tippy tap) Practice safe disposal of child feces",1,1,1,1,1,0,1,1,1,0,,Yes,Reduction in the spread of germs that causes diseases like cholera,,No,,Yes,,,No,Much safer,Stored food/water in advance Raised household belongings Dug or cleared drainage/canals,1,1,0,1,0,0,0,0,,Yes,Yes,,Yes,Yes,Yes,Yes,Water committee roles  Maintenance jobs  Hygiene trainers ,1,1,1,0,0,Very useful,Somewhat,Yes,Yes,Yes, Somewhat ,Somewhat effective,Yes,Damaged,Less erosion ,Farming/fishing improved ,,,No,,,,,,,,,Not sure,,,,,,,Somewhat better protected,,16.24
